imdb_id,story,summary,tagline,actors,wins_nominations,release_date
tt1187043,Farhan Qureshi and Raju Rastogi want to re-unite with their fellow collegian  Rancho  after faking a stroke aboard an Air India plane  and excusing himself from his wife - trouser less - respectively. Enroute  they encounter another student  Chatur Ramalingam  now a successful businessman  who reminds them of a bet they had undertaken 10 years ago. The trio  while recollecting hilarious antics  including their run-ins with the Dean of Delhi's Imperial College of Engineering  Viru Sahastrabudhe  race to locate Rancho  at his last known address - little knowing the secret that was kept from them all this time.,Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently  even as the rest of the world called them "idiots".,Don't be Stupid. Be an I.D.I.O.T.,Aamir Khan|Madhavan|Sharman Joshi|Kareena Kapoor|Boman Irani|Omi Vaidya|Mona Singh|Javed Jaffrey|Parikshat Sahni|Olivier Lafont|Rahul Kumar|Amardeep Jha|Farida Dadi|Mukund Bhatt|,57 wins & 18 nominations,25 December 2009 (India)
tt1275863,London-based Jai Vardhan Singh and Meera Pandit meet  fall in love  and she introduces him to her family. Shortly thereafter  they decide to part as she wants to re-locate to India to restore heritage buildings  while he re-locates to America. Restauranteur Veer Singh attempts to convince Jai to pursue her  as he had pursued Harleen Kaur back in 1965 India  but Jai moves on and falls in love with Caucasian Jo  while Meera is all set to get marry her employer  Vikram Joshi.,An old-fashioned romantic tells his personal love story to a modern man who has just broken up with his girlfriend. Has love really ever changed?,,Saif Ali Khan|Deepika Padukone|Rishi Kapoor|Rahul Khanna|Florence Brudenell-Bruce|Giselli Monteiro|Raj Zutshi|Nirupama Verma|Gunjas Singh|Chandan Anand|Dhirendra Divedi|Sanjay Gandhi|Rajinder Sharma Nanu|Vir Das|,12 wins & 33 nominations,31 July 2009 (India)
tt1340838,Attractive ramp model  Nandita Chopra  has a boyfriend in Yash Dayal  who runs a TV serial 'Andhvishwas' - documenting proof that there are no ghosts  ghouls or even God. Things spiral out of control when she finds wounds all over her body; is stalked by a mysterious male; and ends up hospitalized on grounds that she may have attempted to kill herself after finding out she was pregnant. After recuperating  she befriends her stalker  who identifies himself as Prithvi Singh  and sets out on a journey with him to Kalindi  Himachal Pradesh  to try and unravel the mystery behind the dialogue "Tum Sadh Chukey Ho  Asudh Ho Tum".,An artist comes to realize that the woman he has been been painting is real and is being haunted by a ghost.,,Kangana Ranaut|Adhyayan Suman|Emraan Hashmi|,,23 January 2009 (India)
tt1252596,A statue in a town's square narrates to a journalist the story of 9th standard-failed  unemployed  trouble-maker and stutterer Premshankar Sharma. Premshankar  cons Mr. Pinto into buying a dilapidated flat to pay for expenses of the Happy Club over which he presides  much to the disapproval of his restaurateur father  Shivshankar  who wants him to wed Shakuntala Mishra. Premshankar's life will undergo many changes after he falls in love with Pinto's adopted daughter  Jenny. He believes that she also loves him  and even helps her to elope after her parents force her to wed wealthy Tony. Premshankar ends up in despair when he finds out that Jenny's true love is Canada-based Rahul  the son of wealthy politician  Pitambar Jalan.,The wacky adventures of a young man who is willing to sacrifice his own love to insure the happiness of others  and get the girl-of-his-dreams married to the boy-of-her-dreams.,,Ranbir Kapoor|Katrina Kaif|Darshan Jariwala|Smita Jaykar|Zakir Hussain|Upen Patel|,6 wins & 6 nominations,6 November 2009 (India)
tt1084972,Mumbai-based middle-classed Jhanvi  who lives with her widowed mother and younger brother  has three suitors. The first is much older and considerably overweight - Sonu Gates. The second is Police Inspector Talpade  who is already married to Nandini  but lusts after Jhanvi so much so that he creates circumstances that will force her to marry him. The third is a male named Radhey - who often comes to her rescue - but breaks her heart when she finds out who is really is - a cold-blooded killer who works for a gangster named Ghanibhai. The later is a ruthless gangster who challenges Police Commissioner Ashraf Taufeeq Khan with impunity  and even abducts his daughter to ensure his personal safety.,Radhe is a ruthless gangster who will kill anyone for money. He is attracted towards Jhanvi  a middle class girl  who does not approve of his work and wants him to change.,MAFIA WANTS HIM DEAD| POLICE WANTS HIM ALIVE,Salman Khan|Ayesha Takia|Vinod Khanna|Govind Namdeo|Prakash Raj|Mahesh Manjrekar|Inder Kumar|Mahek Chahal|Manoj Pahwa|Raju Mavani|Asseem Merchant|Sarfaraz Khan|Sajid Ali|Susilakar Gv|,1 win & 4 nominations,25 September 2009 (USA)
tt1252594,A theatre group containing talented  aspiring college actors sets out to have some fun.,A theatre group containing talented  aspiring college actors sets out to have some fun.,,Hrishitaa Bhatt|Seema Biswas|Nauheed Cyrusi|Mansi Dovhal|Ravi Gossain|Khushboo Grewal|Hamid Khan|Mushtaq Khan|Muzahid Khan|Sachin Khedekar|Aditya Lakhia|Sunil Rege|Joy Sengupta|Shubh|,,23 January 2009 (India)
tt1043451,U.S.-based Roshan Mehra's mother  Fatima  is Muslim  while his dad is Hindu. When his ailing grandmother  Annapurna  wants to re-locate to Delhi to spend her last days  he accompanies her. Upon arrival  they are greeted by Ali Beg  who wanted to marry Fatima  but was not able to disclose his feelings to her. He also gets to meet the Sharma family  who hope that he will wed Rama  the daughter of Madan  who is busy looking for a groom for his other rather rebellious daughter  Bittu  who wants to be the next Indian Idol. He also gets to meet assorted Muslim and Hindus  who welcome him with open arms  and he gets to witness that lower caste Indians are still being shunned despite of modern technology and the launching of satellites. When reports of a Kala Bandhar terrorizing the community increases  Hindus start to suspect that it may be a Muslim terrorist  while the Muslims fear that it may be a Hindu political ploy to demolish a mosque.,In the ancient walled city of Delhi  an American-born Indian finds himself on an unexpected inner journey as he learns about himself and his roots.,The Journey within,Waheeda Rehman|Abhishek Bachchan|Sonam Kapoor|Rishi Kapoor|Om Puri|Prem Chopra|Atul Kulkarni|Pavan Malhotra|Divya Dutta|Supriya Pathak|Tanvi Azmi|Vijay Raaz|Deepak Dobriyal|Raghuvir Yadav|,4 wins & 13 nominations,20 February 2009 (India)
tt0886539,Refusing the accept the same fate as her sisters  Tara and Meghna  and get married to a boy from the same Caste  Kanpur-based Sona Mishra alienates herself from her accountant father  and re-locates to Mumbai in order to act in movies. She meets with Satish Chaudhary who offers to assist her in getting a lead role. Years later  all he could manage was bit parts  leaving her frustrated but hopeful. She meets with another struggling actor  Vikram Jaisingh  and both become fairly intimate. When a lead role with Satish does not materialize  and his wife  Pinky  becomes suspicious  she decides to depart. Disappointment and shock also await Vikram when he is candidly told by his friend  Abhimanyu Gupta  that he has no talent and must consider returning back in Delhi to assist his businessman father. It does look like the end of the road for both Sona and Vikram - leaving the question open whether they will continue with their relationship &/or return to their respective homes.,When Vikram gets tapped to play the male lead in a Bollywood film  he can't believe his luck. But it may ruin his relationship with his girlfriend.,,Farhan Akhtar|Konkona Sen Sharma|Rishi Kapoor|Dimple Kapadia|Isha Sharvani|Sanjay Kapoor|Juhi Chawla|Hrithik Roshan|Alyy Khan|Sheeba Chaddha|Arjun Mathur|Sid Makkar|Pankaj Kalra|Megha Narkar|,5 wins & 8 nominations,30 January 2009 (India)
tt1438486,Pune-based widower Omkar Nath used to work as a Headmaster with a local school. When he was fired  his son  Deepak  hired a lawyer to sue the school. The school was represented by none other than Omkar's live-in son-in-law  Vinayak Agrawal. After some years the Court finally came to a decision and the verdict was in favor of Omkar. However  since the school had no funds  it was directed to surrender it's school bus in lieu of wages. Deepak takes charge of this bus  finds out it's dilapidated and makes it roadworthy. He also decides to ply in on the Sonawadi - Ratna Chowk route  not knowing that his problems are just about to start.,Pune-based widower Omkar Nath used to work as a Headmaster with a local school. When he was fired  his son  Deepak  hired a lawyer to sue the school. The school was represented by none ...                    ,,Asrani|Asif Basra|Govinda|Manoj Joshi|Razak Khan|Amita Nangia|Om Puri|Virendra Saxena|Reema Sen|Murli Sharma|Upasna Singh|,,6 February 2009 (India)
tt1230448,Based in Budbuda  Uttar Pradesh  Billu Vilas Pardesi barely makes a living as a barber. His wife  Bindiya  looks after the household  and his children  Gunja and Ronak  are on the verge of being expelled from Gyaan Bharti Vidyalay Higher Secondary School due to non-payment of fees. Then everything changes when Bollywood actor Sahir Khan makes an appearance to film a movie in the town. Rumors spread that Billu is Sahir's close friends  and he becomes a celebrity virtually overnight. His shop gets donations and clientèle  and the school decides to educate his children for free. The trouble begins when townsfolk want to meet with Sahir but Billu is unable to contact him.,In an Indian village  a struggling barber sees his luck begin to turn when residents learn that a famous actor he once knew is coming to town.,,Irrfan Khan|Lara Dutta|Om Puri|Asrani|Rajpal Yadav|Manoj Joshi|Jagadish|Rasika Joshi|Mitali Mayekar|Pratik Dalvi|Kareena Kapoor|Deepika Padukone|Shah Rukh Khan|Shankar Sachdev|,,13 February 2009 (India)
