user_id,movie_id,tag,timestamp
11476,1900,competition,1315661735
11476,1900,Oscar Nominee: Foreign Language (Iran),1315661761
11476,1900,siblings,1315661755
30074,1900,brother sister relationship,1326442974
30074,1900,competition,1326442979
30074,1900,disappointing,1326443039
30074,1900,overrated,1326443031
30074,1900,slow,1326443017
54271,1900,In Netflix queue,1137201889
54594,1900,brother sister relationship,1249005344
54594,1900,competition,1269698562
54594,1900,Iran,1249005347
54594,1900,Middle East,1324887550
54594,1900,Oscar Nominee: Foreign Language (Iran),1267471982
54594,1900,race,1179711134
54594,1900,shoes,1257136015
54594,1900,socks,1280815420
54594,1900,Tehran,1179710948
38366,2284,foreign,1146745234
29647,5985,Biography,1140708970
29647,5985,History,1140708970
29647,5985,Religion,1140708970
45514,6244,Bombay,1364975774
45514,6244,dark side of India,1364975726
45514,6244,drugs,1364975730
45514,6244,India,1364975734
45514,6244,institutions,1364975824
45514,6244,Mumbai,1364975739
45514,6244,pimps,1364975744
45514,6244,poverty,1364975755
45514,6244,prostitution,1364975790
45514,6244,runaway,1364975780
45514,6244,street children,1364975759
45514,6244,tea,1364975765
45514,6244,urban,1364975795
54271,6244,In Netflix queue,1137201921
23034,6683,bollywood,1368047287
38366,6683,foreign,1146745208
38366,6683,lesbian,1146745159
58804,6683,bollywood,1367810681
43868,8971,romance,1461827297
43868,8971,Yash Chopra,1461827301
3079,27163,bollywood,1526914552
3079,27163,Romance,1526914563
24606,27326,Sanjay Leela Bhansali,1392316636
24606,27518,bromance,1392315717
24606,27518,comedy,1392315717
24606,27518,friendship,1392315717
1089,30905,art,1323231194
1089,30905,corruption,1323231192
1089,30905,graffiti,1323231159
1089,30905,overly dramatic,1323231166
1089,30905,police brutality,1323231185
3079,34435,bollywood,1526914306
3079,34435,masala,1526914312
8344,34435,Action,1432910036
8344,34435,Gabbar,1432910040
8344,34435,Hindi,1432910019
8344,34435,Train Fight,1432910037
3079,36086,bollywood,1526914629
16143,36086,romance,1442795846
16143,36086,ShahRukh Khan,1442795830
7963,51884,bollywood,1368840302
9440,51884,absurd,1441269142
9440,51884,ethnocentric,1441269175
9440,51884,focused on race,1441269177
9440,51884,immigrant story,1441269203
9440,51884,immigrants,1441269208
9440,51884,pretentious,1441269174
9440,51884,pseudo-intellectual,1441269179
9440,51884,simple,1441269184
9440,51884,underdog,1441269213
25935,51884,seen at the cinema,1179430862
33550,51884,BGAB LRC,1271595592
36518,51884,bittersweet,1325872148
36518,51884,great performances,1325872178
36518,51884,immigrants,1325872321
36518,51884,inconsistent,1325872375
36518,51884,Irrfan Khan,1325872165
36518,51884,large scope,1325872215
36518,51884,meek,1325872281
36518,51884,pacing,1325872242
36518,51884,Tabu,1325872157
36518,51884,too ambitious,1325872203
36518,51884,touching,1325872234
43230,51884,bollywood,1368804684
43907,51884,bollywood,1368759233
54594,51884,interracial romance,1210345995
54594,51884,PG-13,1193679236
54594,51884,Seen 2007,1195972006
54594,51884,seen at the cinema,1195972023
11655,55098,patriotic,1460903209
24606,56167,acting debut,1392315206
44665,56167,bad acting,1375807426
44665,56167,irritating,1375807449
44665,56167,overacting,1375807428
44665,56167,Stupid as Hell,1375807425
49173,56167,bollywood,1328030115
49173,56167,shahrukh khan,1328030265
10038,57183,Aamir Khan,1389636718
21044,57183,convincing child actor,1440983048
21092,57183,Dyslexia,1533114079
24606,57183,cinematography,1392315762
24606,57183,story,1392315761
24606,57183,superb acting,1392315762
28310,57183,Dyslexia,1516435952
28310,57183,education,1516435972
24606,58111,historical,1392314893
49173,71688,bollywood,1328030300
49173,71688,kareena kapoor,1328030300
49173,73170,bollywood,1328030707
16143,73513,india,1442796280
24606,73513,acting,1392316381
24606,73513,story,1392316381
47622,73513,India,1508776359
47622,73513,romantic,1508776395
1407,73881,Amazing display of friendship,1311186097
1407,73881,Funny,1311186113
4192,73881,comedy,1421841678
4226,73881,education,1521220692
4226,73881,inventor,1521220677
4226,73881,life,1521220707
4226,73881,nerd,1521220668
4226,73881,self made,1521220671
4226,73881,teacher,1521220687
10038,73881,extremely stupid humor,1378227336
10038,73881,India,1378227340
10038,73881,Rajkumar Hirani,1378227443
14640,73881,bollywood,1439405974
16126,73881,college,1473403640
16126,73881,education,1473403655
16126,73881,inspirational,1473403659
33852,73881,India,1339675637
35643,73881,friendship,1530027350
35643,73881,India,1530027354
35643,73881,inspirational,1530027360
47960,73881,aamir khan,1472490597
47960,73881,based on a book,1472490653
47960,73881,bollywood,1472490598
47960,73881,college,1472490584
47960,73881,education,1472490595
47960,73881,extremely stupid humor,1472490652
47960,73881,friendship,1472490582
47960,73881,human nature,1472490631
47960,73881,imdb top 250,1472490622
47960,73881,India,1472490581
47960,73881,Indian,1472490633
47960,73881,inspirational,1472490609
47960,73881,inventor,1472490629
47960,73881,Rajkumar Hirani,1472490602
47960,73881,romance,1472490644
58772,73881,aamir khan,1462985945
58772,73881,All_Is_Well,1468091620
58772,73881,Amazing display of friendship,1468091617
58772,73881,bollywood,1468091693
58772,73881,college,1462985944
58772,73881,education,1462985949
58772,73881,friendship,1462985942
58772,73881,IIT Life,1468091582
58772,73881,imdb top 250,1468091605
58772,73881,India,1462985939
58772,73881,Indian,1468091704
58772,73881,inspirational,1468091611
58772,73881,inventor,1468091595
58772,73881,Rajkumar Hirani,1468091647
24606,73900,comedy,1392315095
49173,73900,bollywood,1328030669
24606,74426,ShahRukh Khan,1392315114
49173,74426,bollywood,1328030622
24606,74641,comedy romance,1392315307
49173,74641,bollywood,1328030429
49173,74787,bollywood,1328030279
49173,74787,shahrukh khan,1328030279
49173,76051,bollywood,1328030325
24606,76056,crime,1392315161
24606,76056,thriller,1392315161
49173,76056,bollywood,1328030445
9384,76132,Bollywood,1458417848
9384,76132,Hindi,1458417841
24606,83004,comedy,1392315819
24606,83004,low budget,1392315819
3079,83457,bollywood,1526914461
3079,83457,sappy,1526914493
3079,83457,too long,1526914440
11612,83457,Madhuri Dixit,1434000936
11612,83457,musical,1434000970
11612,83457,overacting,1434000961
11612,83457,Salman Khan,1434000929
