imdb_id,title,original_title,is_adult,year_of_release,runtime,genres
tt0042184,Afsar,Afsar,0,1950,121,Comedy|Romance
tt0042207,Arzoo,Arzoo,0,1950,\N,Musical|Romance
tt0042225,Banwra,Banwra,0,1950,148,Drama
tt0042233,Bawre Nain,Bawre Nain,0,1950,138,Drama|Romance
tt0042380,Dastan,Dastan,0,1950,122,Drama|Family|Romance
tt0043306,Awaara,Awaara,0,1951,193,Drama|Musical|Romance
tt0043307,Baazi,Baazi,0,1951,143,Crime|Drama|Musical
tt0043310,Bahar,Bahar,0,1951,170,Drama
tt0043842,Naujawan,Naujawan,0,1951,\N,Drama
tt0043997,Sazaa,Sazaa,0,1951,111,Drama|Family
tt0044318,Aan,Aan,0,1952,161,Action|Adventure|Drama
tt0044318,Aan,Aan,0,1952,161,Action|Adventure|Drama
tt0044360,Anhonee,Anhonee,0,1952,155,Drama|Romance|Thriller
tt0044361,Anjaam,Anjaam,0,1952,\N,\N
tt0044392,Baiju Bawra,Baiju Bawra,0,1952,165,Drama|Musical|Romance
tt0044527,Daag,Daag,0,1952,149,Drama|Romance
tt0044761,Jaal,Jaal,0,1952,165,Crime|Thriller
tt0044769,Jhansi Ki Rani,Jhansi Ki Rani,0,1953,148,Biography|Drama|History
tt0045467,Aah,Aah,0,1953,150,Drama|Musical|Romance
tt0045506,Anarkali,Anarkali,0,1953,175,History|Musical|Romance
tt0045524,Aurat,Aurat,0,1953,\N,Action|Adventure|Drama
tt0045529,Baaz,Baaz,0,1953,140,Action|Adventure|Drama
tt0045693,Do Bigha Zamin,Do Bigha Zamin,0,1953,131,Drama
tt0046164,The Fiancee,Parineeta,0,1953,151,Drama|Romance
tt0046673,Aar-Paar,Aar-Paar,0,1954,146,Musical|Romance|Thriller
tt0046703,Amar,Amar,0,1954,149,Drama|Musical|Romance
tt0046780,Biraj Bahu,Biraj Bahu,0,1954,145,Drama
tt0046799,Boot Polish,Boot Polish,0,1954,149,Comedy|Drama|Family
tt0046799,Boot Polish,Boot Polish,0,1954,149,Comedy|Drama|Family
tt0047060,Hamlet,Hamlet,0,1954,\N,Drama
tt0047271,Naukari,Naukari,0,1954,\N,Drama|Family
tt0047439,Sailaab,Sailaab,0,1956,\N,Drama|Family
tt0047561,Taxi Driver,Taxi Driver,0,1954,133,Musical|Romance
tt0047796,Abe Hayat,Abe Hayat,0,1955,\N,Action|Adventure|Fantasy
tt0047816,Amaanat,Amaanat,0,1955,\N,Drama|Family
tt0047990,Devdas,Devdas,0,1955,159,Drama|Musical|Romance
tt0048181,House No. 44,House No. 44,0,1955,\N,Crime|Drama
tt0048271,Kundan,Kundan,0,1955,150,Crime|Drama
tt0048392,Mr. & Mrs. '55,Mr. & Mrs. '55,0,1955,157,Comedy|Musical|Romance
tt0048395,Munimji,Munimji,0,1955,163,Comedy|Musical|Romance
tt0048410,Nagin,Nagin,0,1954,139,Drama|Musical|Romance
tt0048537,Railway Platform,Railway Platform,0,1955,162,Comedy|Drama|Romance
