user_id,movie_id,rating,timestamp
172,94969,5,1396067836
172,98956,4,1396067879
176,73881,4,1499807147
221,1900,4.5,1288550866
333,33688,4,1412015122
333,78408,2,1412015747
333,81111,3,1412015924
333,94190,5,1412016036
339,167038,0.5,1527515624
422,64650,5,1529609466
422,73881,5,1529609456
422,94663,4,1529609472
505,73881,4,1354553678
516,73881,4,1456233918
537,144984,2,1449413044
540,6244,4.5,1181483583
540,36086,3,1417039811
540,41650,2,1417127100
587,27326,4,1353754668
591,55098,4.5,1535212950
600,120138,4.5,1447612484
605,27729,0.5,1383558944
642,1900,3,1431909325
697,1900,4,1516128416
719,1900,4.5,1388610399
745,73881,3,1469278481
773,73881,5,1401438239
818,167392,3.5,1520793943
856,568,3,949625393
1040,133389,2,1463918475
1073,76056,4.5,1461545736
1073,82906,4.5,1461548369
1073,105477,4.5,1461547866
1073,143565,4.5,1461548506
1089,30905,2.5,1337386070
1137,57183,4,1450344587
1147,154276,4,1463983638
1147,157106,0.5,1463983447
1147,159065,0.5,1463983615
1158,1900,4,1026850205
1165,568,3,849011132
1197,2284,4,954257934
1197,73051,4,1277634230
1265,568,4,962599422
1265,2284,2,962598538
1272,107883,3.5,1414683025
1407,73881,4,1311186074
1447,73051,2.5,1276453380
1507,1900,4.5,1454751399
1507,34435,0.5,1454779946
1507,57183,2.5,1454751910
1507,97648,2,1454779567
1507,109093,0.5,1455205088
1507,117506,0.5,1454779894
1507,121370,0.5,1454780068
1507,135500,0.5,1454780106
1507,135763,0.5,1454779921
1507,135795,0.5,1454780128
1507,151461,0.5,1455285829
1507,157106,0.5,1461166049
1524,156545,4,1496175698
1593,73881,5,1438773022
1619,568,2,835598355
1695,71460,3.5,1282132884
1742,5985,3.5,1439336842
1742,8971,3.5,1439336795
1742,27131,3.5,1439336805
1742,27163,4.5,1439336274
1742,27362,4,1439336504
1742,27729,4,1439336486
1742,34466,3,1439337219
1742,36083,3.5,1439336819
1742,36086,5,1439337022
1742,56167,4,1439336964
1742,57183,3.5,1439336679
1742,69187,3,1439336901
1742,73513,4,1439336492
1742,73881,4,1439336665
1742,74641,3,1439336945
1742,74787,4,1439336809
1742,82980,4,1439336954
1742,83337,3,1439336884
1742,83339,3.5,1439336865
1742,83424,3,1439336707
1742,91241,3,1439337205
1742,98198,3,1439336920
1742,101640,4,1439336880
1742,104379,4,1439336972
1742,109093,4,1439336799
1742,112640,3.5,1439337009
1742,120138,3.5,1439336687
1742,121133,3.5,1439337027
1742,121370,4,1439336992
1742,134182,3,1439336931
1742,135771,3.5,1439336546
1742,135823,4,1439336714
1742,138804,3,1439336988
1766,568,5,975204595
1776,51884,4,1290868464
1781,6683,5,1245005823
1867,57183,4.5,1453928801
1867,73881,5,1453928783
1913,139148,4,1437652435
1925,120138,3,1450647530
1931,1900,4,1177041672
1931,6683,3.5,1180376052
1931,51884,3.5,1176773663
1935,120138,4,1523394967
1935,185601,1,1523365644
1966,178673,4,1506766939
1980,73881,3.5,1509736533
1980,120138,5,1509736533
2011,74787,4,1534429200
2025,170637,4,1521327581
2056,6683,4,1436061735
2057,8971,4,1237030220
2069,73881,4,1495377371
2098,73881,4,1447503456
2098,83424,2.5,1447503441
2132,151459,2,1466292102
2150,51884,4,1202714397
2168,73881,5,1275652275
2184,73881,5,1440610133
2243,1900,4.5,1420598877
2245,71460,3.5,1254737484
2280,167392,3.5,1489727269
2294,81111,3.5,1515459963
2294,107883,2.5,1513176993
2294,109455,3,1506477772
2294,154160,1.5,1511902939
2294,178489,1,1506388299
2358,73881,4,1319377556
2381,2284,4,938910714
2418,51884,2.5,1225780308
2419,94969,3,1365538405
2440,1900,3,1369172196
2440,6244,4,1324354832
2440,100336,3.5,1395066796
2440,109728,3,1398434375
2440,129437,3.5,1449964558
2440,130492,3.5,1485745392
2440,133389,3.5,1488410825
2440,133699,3.5,1458689065
2440,135841,3,1436896076
2440,148058,4,1475015354
2440,151459,3,1521206056
2440,160301,3,1520047833
2440,160555,3.5,1516198992
2553,2284,4.5,1111549310
2700,6244,4,1185397987
2700,27362,3.5,1181716411
2700,33688,3.5,1159207984
2881,74787,4,1485765884
2956,71460,4.5,1351035306
2968,73881,4.5,1419738938
3079,2284,3,1529269219
3079,27131,3,1529269451
3079,27163,3,1526311137
3079,34435,3,1526914280
3079,36086,3,1526914589
3079,74426,1.5,1529269181
3079,83266,1.5,1529269141
3079,83457,2.5,1526914428
3079,101664,3,1529269358
3079,132952,3,1529269020
3079,134240,3,1526311151
3079,135775,2.5,1529269531
3079,142823,3,1526914604
3079,146244,2.5,1529269379
3081,1900,4,1203390220
3081,6244,5,1201809258
3144,56167,3,1428228013
3144,118258,3.5,1428439002
3162,42208,3,1370338147
3162,58933,2.5,1392878487
